Identyfikator publiczny,Nazwa,Rodzaj obiektu,Opis ogolny,Gmina,Powiat,Wojewodztwo,Szerokosc geograficzna,Dlugosc geograficzna,Adres,Dostepnosc
OZO-798A667ADE57,Miejsce ochronne,Obiekt ochrony ludności,,Czerniejewo,pow. gnieźnieński,wielkopolskie,52.4524815216282,17.5789136661293,"ul. Tadeusza Kościuszki 46, Żydowo",Na żądanie
OZO-84289F3EA68D,Miejsce ochronne,Obiekt ochrony ludności,,Gdańsk,Gdańsk,pomorskie,54.327392306652875,18.58217775821686,"ul. Jeleniogórska 43, Gdańsk",Na żądanie
OZO-4169BE75266F,Miejsce ochronne,Obiekt ochrony ludności,,Orneta,pow. lidzbarski,warmińsko-mazurskie,54.17700004843569,20.208760493393676,"11, Wola Lipecka",Na żądanie
OZO-D773D132CF89,Miejsce ochronne,Obiekt ochrony ludności,,Gdynia,Gdynia,pomorskie,54.48573858630586,18.428095579147342,"ul. Stanisława Filipkowskiego 23, Gdynia",Całodobowa
OZO-3F82E8055E68,Miejsce ochronne,Obiekt ochrony ludności,,Orneta,pow. lidzbarski,warmińsko-mazurskie,54.17685562180803,20.208084593779315,"12, Wola Lipecka",Na żądanie
OZO-BE7E04A696A4,Miejsce ochronne,Obiekt ochrony ludności,,Kołaczkowo,pow. wrzesiński,wielkopolskie,52.2684368874265,17.680083651878,"19, Bieganowo",Całodobowa
OZO-20DA874655A1,Miejsce ochronne,Obiekt ochrony ludności,,Orneta,pow. lidzbarski,warmińsko-mazurskie,54.17677398913701,20.209160153033775,"10, Wola Lipecka",Na żądanie
OZO-5D189A4FF981,Miejsce ochronne,Obiekt ochrony ludności,,Orneta,pow. lidzbarski,warmińsko-mazurskie,54.17697022123691,20.209640268447444,"7, Wola Lipecka",Na żądanie
OZO-0E9679BFEA0B,Miejsce ochronne,Obiekt ochrony ludności,,Orneta,pow. lidzbarski,warmińsko-mazurskie,54.176789687743515,20.21043687402798,"6, Wola Lipecka",Na żądanie
OZO-FD4CE68BBED7,Miejsce ochronne,Obiekt ochrony ludności,,Olsztyn,Olsztyn,warmińsko-mazurskie,53.7342694091569,20.4896377697326,"ul. Jarocka 78B, Olsztyn",Na żądanie
